id,difficulty,terrain,date_hidden,favorites
GCAMNFX,3,2.5,3/9/2024,2
GCAMN5X,2,2,3/9/2024,0
GCAMN36,2.5,1.5,3/9/2024,1
GCAMN0K,1.5,2,3/9/2024,0
GCAMN03,1.5,1.5,3/9/2024,0
GCAMJ2H,2,2.5,3/9/2024,1
GCAMDVE,3,2,3/9/2024,1
GCAM3ZT,1.5,1.5,3/9/2024,0
GCAKH0Z,2,1.5,3/9/2024,6
GCAJW46,3.5,2.5,3/9/2024,0
GCAJGNG,2,2,3/9/2024,2
GCAMMD7,1.5,2,3/8/2024,0
GCAMMCP,2,2.5,3/8/2024,0
GCAMMCH,1.5,3,3/8/2024,0
GCAMMBD,2,2,3/8/2024,0
GCAMMB5,1.5,2.5,3/8/2024,0
GCAMMAA,1.5,3,3/8/2024,0
GCAMK9M,2,2,3/8/2024,3
GCAMJ2J,2,1.5,3/6/2024,3
GCAMJ1M,2,2.5,3/6/2024,1
GCAMJ1G,2,2,3/6/2024,7
GCAMJ1D,2,2,3/6/2024,4
GCAMJ01,1.5,1.5,3/6/2024,0
GCAMHZX,1.5,1.5,3/6/2024,1
GCAMHYF,1.5,1.5,3/6/2024,4
GCAMHYE,1.5,1.5,3/6/2024,0
GCAMHXJ,1.5,1.5,3/6/2024,1
GCAMHRK,1.5,2,3/6/2024,1
GCAMHQV,3,1.5,3/6/2024,0
GCAMHQ1,1.5,1.5,3/6/2024,0
GCAMHPN,3,1.5,3/6/2024,2
GCAMHPM,2,2.5,3/6/2024,7
GCAMHPB,2.5,3,3/6/2024,1
GCAMH2V,1.5,1.5,3/6/2024,3
GCAMGX9,5,2,3/6/2024,1
GCAEZWA,3.5,3,3/6/2024,21
GCAN8DP,3,3,3/5/2024,0
GCAMGWP,1.5,1.5,3/5/2024,0
GCAMGWN,2,1.5,3/5/2024,3
GCAMGVB,1.5,1.5,3/5/2024,0
GCAMGRY,2,1.5,3/5/2024,0
GCAMFQ4,2,2,3/5/2024,0
GCAMFN7,1.5,1.5,3/5/2024,0
GCAMDZD,1.5,2,3/5/2024,0
GCAMDX7,2,1.5,3/5/2024,0
GCAMDW1,1.5,1.5,3/4/2024,0
GCAMDVP,2.5,2,3/4/2024,1
GCAMDVK,3.5,1.5,3/4/2024,0
GCAMDTB,1.5,1,3/4/2024,0
GCAMDRT,2,2,3/4/2024,0
GCAMDQF,2,1.5,3/4/2024,0
GCAMDPY,2.5,2,3/4/2024,7
GCAMDPD,1,1,3/4/2024,1
GCAMDP6,4,2,3/4/2024,0
GCAMDNA,3,2,3/4/2024,1
GCAMDN6,2,2,3/4/2024,2
GCAMDMD,2,1.5,3/4/2024,2
GCAMDH1,1.5,1.5,3/4/2024,0
GCAMDG4,2,2,3/4/2024,0
GCAMDF0,1.5,2,3/4/2024,1
GCAMD67,3,1.5,3/4/2024,4
GCAMD20,2.5,1.5,3/4/2024,5
GCAMBWP,3,1,3/4/2024,2
GCAKPD6,2,5,3/4/2024,0
GCAKCT0,2,2,3/4/2024,2
GCAMJ5P,1,3,3/3/2024,2
GCAMCKZ,2,2,3/3/2024,1
GCAMCK6,1.5,1,3/3/2024,0
GCAMCHB,2,1.5,3/3/2024,1
GCAMCFB,1.5,1.5,3/3/2024,0
GCAMCET,1.5,2,3/3/2024,1
GCAMCEB,2,1.5,3/3/2024,0
GCAMCCB,1,1.5,3/3/2024,0
GCAMCBJ,2.5,1.5,3/3/2024,1
GCAMC7R,1.5,1.5,3/3/2024,0
GCAMC7A,1.5,2,3/3/2024,0
GCAMC61,1.5,1.5,3/3/2024,0
GCAMC4Q,1.5,2.5,3/3/2024,0
GCAMC31,1.5,1.5,3/3/2024,2
GCAMBX2,2,4,3/3/2024,0
GCAMBPW,2,2,3/3/2024,0
GCAMBP0,1.5,1.5,3/3/2024,0
GCAJPC0,1.5,1.5,3/3/2024,0
GCAK39X,1,1,3/2/2024,0
GCAJ6RE,1,1.5,3/2/2024,0
GCAMDKX,1.5,1,3/2/2024,0
GCAMD97,1.5,2,3/2/2024,2
GCAMD8M,3,2,3/2/2024,3
GCAMD40,1,2,3/2/2024,2
