id,difficulty,terrain,date_hidden,favorites
GCAFK1Z,2,2,10/5/2023,0
GCAFK1T,2,2,10/5/2023,0
GCAFK1Q,2,2,10/5/2023,0
GCAFH11,2,2,10/5/2023,0
GCAFH09,2,2,10/5/2023,0
GCAFH02,2,2,10/5/2023,0
GCAFGZY,2,2,10/5/2023,0
GCAFGZQ,2,2,10/5/2023,0
GCAFCV2,2,2,10/5/2023,0
GCAFCV0,2,2,10/5/2023,0
GCAFCTZ,2,2,10/5/2023,0
GCAFCQ4,2,2,10/5/2023,0
GCAFCPR,2,2,10/5/2023,0
GCAFCPM,2,2,10/5/2023,0
GCAFCPF,2,2,10/5/2023,0
GCAEZD0,2,2,10/4/2023,0
GCAEZCZ,2,2,10/4/2023,0
GCAEZCY,3.5,2,10/4/2023,0
GCAEZCW,3.5,2,10/4/2023,0
GCAEZCV,2.5,2,10/4/2023,0
GCAEZCT,3,2,10/4/2023,0
GCAEZCR,2,2,10/4/2023,0
GCAEZCQ,2,2,10/4/2023,0
GCAEZCM,2,2,10/4/2023,1
GCAEZCJ,4.5,4,10/4/2023,1
GCAEZBP,1.5,2,10/4/2023,0
GCAEZ94,1,1.5,10/4/2023,1
GCAF5NH,3,3,10/3/2023,1
GCAEY85,1,1.5,10/3/2023,10
GCAEXWZ,1.5,1,10/3/2023,2
GCAEX02,2,2,10/2/2023,0
GCAEWZZ,2,2,10/2/2023,1
GCAEWZV,2,2,10/2/2023,0
GCAEWZR,2,2.5,10/2/2023,0
GCAEWZM,2,3,10/2/2023,0
GCAEWZH,2,3,10/2/2023,0
GCAEWZE,2,3,10/2/2023,0
GCAEWZD,2,2.5,10/2/2023,0
GCAEWZA,2,2.5,10/2/2023,0
GCAEWZ3,4.5,4,10/2/2023,1
GCAEWYW,1.5,2.5,10/2/2023,0
GCAEWYQ,1.5,2.5,10/2/2023,1
GCAEWYE,1.5,1.5,10/2/2023,0
GCAEWYC,1.5,1.5,10/2/2023,0
GCAEWY9,1.5,1.5,10/2/2023,0
GCAEWY7,1.5,1.5,10/2/2023,0
GCAEWY5,1.5,1.5,10/2/2023,0
GCAEWRC,1.5,2,10/2/2023,5
GCAEVR8,3,1.5,10/1/2023,0
GCAEVPT,4,2.5,10/1/2023,0
GCAETDK,2,2,9/30/2023,0
GCAETA9,1,1.5,9/30/2023,2
GCAET84,2,1.5,9/30/2023,0
GCAER73,1,1,9/29/2023,0
GCAER6M,1.5,1,9/29/2023,0
